system,comet_score,sid
online-A.0,0.4970800877,163
online-A.0,0.8447772861,177
online-A.0,0.8833018541,77
online-A.0,0.6980344653,276
online-A.0,0.6492469907,113
online-A.0,0.5484126806,887
online-A.0,0.7020820975,46
online-A.0,0.8029238582,151
online-A.0,0.5279964805,571
online-A.0,0.7776243687,967
online-A.0,0.6374061704,688
online-A.0,0.567723453,130
online-A.0,0.7342666984,471
online-A.0,0.5439335704,711
online-A.0,0.7262840867,129
online-A.0,0.5652474165,30
online-A.0,0.3454416394,748
online-A.0,0.707211256,715
online-A.0,0.5654438138,909
online-A.0,0.9100472927,832
online-A.0,0.5893754959,764
online-A.0,0.4487622976,35
online-A.0,0.738840282,160
online-A.0,0.8895790577,621
online-A.0,0.7266447544,222
online-A.0,0.8181264997,767
online-A.0,0.6485510468,874
online-A.0,0.7797555327,660
online-A.0,0.8260332942,986
online-A.0,0.6391667724,486
online-A.0,0.5817789435,602
online-A.0,0.6274875998,481
online-A.0,0.8246329427,213
online-A.0,0.6007460356,372
online-A.0,0.6750201583,733
online-A.0,0.8860458732,553
online-A.0,0.9997869134,376
online-A.0,0.6754749417,346
online-A.0,1.013487458,406
online-A.0,0.8192538619,451
online-A.0,0.7162607312,195
online-A.0,0.7089086175,682
online-A.0,0.8112131357,907
online-A.0,0.7278619409,611
