system,comet_score,sid
Microsoft-WMT19-document-level.6808,0.3903344274,799
Microsoft-WMT19-document-level.6808,0.6163762212,805
Microsoft-WMT19-document-level.6808,0.6452695727,807
Microsoft-WMT19-document-level.6808,0.5510814786,808
Microsoft-WMT19-document-level.6808,0.7191534042,559
Microsoft-WMT19-document-level.6808,0.9483162761,568
Microsoft-WMT19-document-level.6808,0.8236089349,577
Microsoft-WMT19-document-level.6808,0.7294887304,579
Microsoft-WMT19-document-level.6808,0.9861076474,584
Microsoft-WMT19-document-level.6808,0.6017209291,1070
Microsoft-WMT19-document-level.6808,0.9214908481,1080
Microsoft-WMT19-document-level.6808,0.8474603295,689
Microsoft-WMT19-document-level.6808,0.757114172,1018
Microsoft-WMT19-document-level.6808,0.6229242682,64
Microsoft-WMT19-document-level.6808,0.7016257048,70
Microsoft-WMT19-document-level.6808,0.9266048074,1747
Microsoft-WMT19-document-level.6808,0.9389207363,1745
Microsoft-WMT19-document-level.6808,0.8960413337,1759
Microsoft-WMT19-document-level.6808,0.9023241401,1768
Microsoft-WMT19-document-level.6808,0.8336505294,65
Microsoft-WMT19-document-level.6808,0.7637516856,1172
Microsoft-WMT19-document-level.6808,0.8340242505,1173
Microsoft-WMT19-document-level.6808,0.8068327308,1180
Microsoft-WMT19-document-level.6808,0.582484901,1511
Microsoft-WMT19-document-level.6808,0.9594918489,191
Microsoft-WMT19-document-level.6808,0.8124745488,193
Microsoft-WMT19-document-level.6808,0.4142364562,197
Microsoft-WMT19-document-level.6808,0.6651610732,97
Microsoft-WMT19-document-level.6808,0.6663386226,101
Microsoft-WMT19-document-level.6808,0.9012592435,24
Microsoft-WMT19-document-level.6808,0.8509482741,26
Microsoft-WMT19-document-level.6808,0.7120626569,35
Microsoft-WMT19-document-level.6808,0.8966681361,36
Microsoft-WMT19-document-level.6808,0.5623521209,80
Microsoft-WMT19-document-level.6808,0.8074306846,1684
Microsoft-WMT19-document-level.6808,0.7751489878,1451
Microsoft-WMT19-document-level.6808,0.629793942,1458
Microsoft-WMT19-document-level.6808,0.7955298424,1384
Microsoft-WMT19-document-level.6808,0.7937703729,1382
Microsoft-WMT19-document-level.6808,0.8798843026,1383
Microsoft-WMT19-document-level.6808,0.8563144207,1085
Microsoft-WMT19-document-level.6808,0.9870228171,1090
Microsoft-WMT19-document-level.6808,0.909312427,1099
Microsoft-WMT19-document-level.6808,0.975035727,1941
Microsoft-WMT19-document-level.6808,0.8328099847,1942
Microsoft-WMT19-document-level.6808,0.6049243808,1944
Microsoft-WMT19-document-level.6808,0.7353105545,281
